P,Q,R,Phi,The,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,THR4,THR5,THR6,Phi_sp,The_sp,Psi_sp,Alt_sp,X_sp,Y_sp,Ax,Ay,Az,M1 Status,M2 Status,M3 Status,M4 Status,M5 Status,M6 Status
0,0,0,0.0174532925199433,0.0523598775598299,0.0349065850398866,0,0,0,0,0,0,5547.04075571382,5530.1632822207,5532.97619446955,5513.28580872757,5530.1632822207,5527.35036997184,56.7214429131567,56.5120034029174,56.5469099879573,56.3025638926781,56.5120034029174,56.4770968178775,-0,0,0,3,0,0,-0.513415730743279,0.170973472389167,9.7950636730531,0,0,0,0,0,0
-2.24363924953897e-05,-5.8316233083759e-05,-2.23956140270554e-06,0.0174532625336614,0.0523598004015208,0.034906579965651,0.00513414976954157,-0.00170973180169774,-0.0971643525672815,7.31616718224531e-08,-2.15950257929465e-08,0,5574.48454571281,5551.86838124769,5546.06139651105,5517.75328272858,5540.3694471937,5546.17643193034,57.0620041908172,56.7813509039969,56.7092896420015,56.3580026150176,56.6386559018379,56.7107171638333,-0.0176444399167769,-0.0529844487779724,0,3,0,0,5.66452653716354e-06,-2.19232257875346e-06,0.0786287988245231,0.625,0.625,0.625,0.625,0.625,0.625
-0.000239575404042741,-0.000622768930248815,-2.25172296934355e-05,0.0174522240177333,0.0523571228391344,0.0349064347595357,0.0102677872633877,-0.00341926538473623,-0.188129576881702,1.87448007460377e-06,-5.53281097825522e-07,0,5590.83643654879,5568.03399054691,5561.91403660378,5533.3126558926,5556.11510189448,5562.23505583761,57.2649215296931,56.9819565986661,56.9060115730639,56.5510852761417,56.8340502071687,56.9099952327709,-0.0181896986294002,-0.0546226601520425,0,3,0,0,9.20896810727712e-05,-3.56297024044772e-05,0.698550051986151,0.859375,0.859375,0.859375,0.859375,0.859375,0.859375
-0.000862826408267008,-0.0022433744587925,-7.94307676902091e-05,0.0174470924816227,0.0523438882326859,0.0349057303738563,0.015398026703675,-0.00512748427220583,-0.266578851632515,1.04697666037036e-05,-3.0902549859e-06,0,5607.03129366743,5584.14287412091,5577.79893685932,5549.02906277396,5571.91748232048,5578.26141958207,57.4658901725831,57.1818583604799,57.1031338337551,56.7461166332518,57.030148445355,57.1088729720797,-0.0187240890428324,-0.0562330767219092,0,3,0,0,0.00036248259261551,-0.000140237284288913,1.95018443216485,0.947265625,0.947265625,0.947265625,0.947265625,0.947265625,0.947265625
-0.0020178911243003,-0.0052487652180745,-0.000183568285638406,0.0174330723652526,0.0523077147248219,0.0349038243664276,0.0205181112522637,-0.00683177459253609,-0.328905341002428,3.35435727835194e-05,-9.90044193893661e-06,0,5623.01105236947,5600.17303333303,5593.72880383308,5564.96056807192,5587.79858710836,5594.24281660832,57.6641895707519,57.3807831993079,57.3008141049473,56.9438172350829,57.2272236065269,57.3071927008875,-0.0192326118642973,-0.0577772579343078,0,3,0,0,0.000828833751094105,-0.000320612401359582,3.56256643552003,0.980224609375,0.980224609375,0.980224609375,0.980224609375,0.980224609375,0.980224609375
-0.00376092827976365,-0.00978921701644813,-0.000339484674067677,0.0174044808018211,0.0522339002344595,0.0348999619476497,0.0256177091460044,-0.00852814110388736,-0.373474700965588,8.00996859021862e-05,-2.36403557625084e-05,0,5638.74297806969,5616.11151455441,5609.71108239956,5581.1399063717,5603.77136988698,5610.17180204183,57.8594135072681,57.5785703682419,57.4991447731505,57.1445932985667,57.4254364375929,57.5048620326843,-0.0197011249447406,-0.0592189981936672,0,3,0,0,0.00143133631570946,-0.000553476930565261,5.33848345283791,0.992584228515625,0.992584228515625,0.992584228515625,0.992584228515625,0.992584228515625,0.992584228515625
-0.00610302876951549,-0.0159009621409603,-0.000548141015479223,0.0173553126525106,0.0521068514954167,0.0348933497532495,0.0306843564098952,-0.0102117687265618,-0.399763513930168,0.000159646628139795,-4.71135754539174e-05,0,5654.21344902703,5631.95242657153,5625.74891740546,5597.58069941436,5619.84172186986,5626.04523103593,58.0513929443441,57.7751467607904,57.6981648640607,57.3486138614907,57.6248600450444,57.7018419417741,-0.0201208916183429,-0.0605359965564959,0,3,0,0,0.00207882300808582,-0.000803348287577665,7.16687888948961,0.997219085693359,0.997219085693359,0.997219085693359,0.997219085693359,0.997219085693359,0.997219085693359
-0.00902370975225459,-0.0235415411304048,-0.00080822658812584,0.0172796184852427,0.0519110255615265,0.0348832036153489,0.03570534592168,-0.0118777574722608,-0.407895948049244,0.000281714239204482,-8.31264067999689e-05,0,5669.42425598235,5647.69572202842,5641.84177077602,5614.28115645904,5636.00969041297,5641.86364166537,58.24015010402,57.9705117892934,57.8978677004867,57.5558567018148,57.8254950165414,57.8981391053481,-0.0204904981484463,-0.0617247718060574,0,3,0,0,0.00267337494310049,-0.00103218083501708,8.98302697394728,0.99895715713501,0.99895715713501,0.99895715713501,0.99895715713501,0.99895715713501,0.99895715713501
-0.0124784953627646,-0.0326093569533508,-0.00111686779621803,0.0171717818191209,0.0516316106272111,0.0348687828177334,0.0406696439179953,-0.0135218659432411,-0.398402403173866,0.000455538010113273,-0.00013439262926315,0,5684.39016492886,5663.34636157916,5657.98589047724,5631.22651151254,5652.27031486224,5657.63078596415,58.4258682235786,58.1647270125478,58.0982067218957,57.7661385822562,58.027279793287,58.0938000839391,-0.0208161431798074,-0.0628014503213749,0,3,0,0,0.00312525604403135,-0.00120530617437473,10.7463320978198,0.999608933925629,0.999608933925629,0.999608933925629,0.999608933925629,0.999608933925629,0.999608933925629
-0.0164044444505048,-0.0429575035552146,-0.00147008722240705,0.017026732617701,0.051255045735909,0.0348494162436143,0.0455695749191142,-0.0151411599675193,-0.372074230056094,0.00068983500235115,-0.000203465027817081,0,5699.13665957275,5678.91350349169,5674.17482056208,5648.39128086864,5668.6144369497,5673.35311987931,58.6088635408115,58.3579060792675,58.2991018137854,57.9791432650233,58.2301007265673,58.2889049920494,-0.0211108720625861,-0.06379991860816,0,3,0,0,0.0033623482944477,-0.00129523321542577,12.4307201390965,0.999853350222111,0.999853350222111,0.999853350222111,0.999853350222111,0.999853350222111,0.999853350222111
